d[5,80] = 3; PATH: 5-10-29-80
d[5,81] = 3; PATH: 5-2-81
d[5,82] = 3; PATH: 5-39-82
d[5,83] = 2; PATH: 5-10-83
d[5,84] = 2; PATH: 5-42-84
d[5,85] = 2; PATH: 5-91-85
d[5,86] = 2; PATH: 5-25-86
d[5,87] = 3; PATH: 5-33-87
d[5,88] = 2; PATH: 5-42-88
d[5,89] = 2; PATH: 5-34-89
d[5,90] = 2; PATH: 5-10-90
d[5,91] = 1; PATH: 5-91
d[5,92] = 2; PATH: 5-60-92
d[5,93] = 3; PATH: 5-10-12-93
d[5,94] = 2; PATH: 5-94
d[5,95] = 3; PATH: 5-95
d[5,96] = 2; PATH: 5-39-96
d[5,97] = 1; PATH: 5-97
d[5,98] = 2; PATH: 5-10-98
d[5,99] = 2; PATH: 5-39-99
d[5,100] = 2; PATH: 5-10-100
d[6,1] = 2; PATH: 6-1
d[6,2] = 3; PATH: 6-26-77-2
d[6,3] = 3; PATH: 6-41-32-3
d[6,4] = 2; PATH: 6-18-4
d[6,5] = 2; PATH: 6-41-5
d[6,7] = 3; PATH: 6-55-7
d[6,8] = 3; PATH: 6-16-8
d[6,9] = 3; PATH: 6-41-9
d[6,10] = 3; PATH: 6-41-5-10
d[6,11] = 3; PATH: 6-41-32-11
d[6,12] = 2; PATH: 6-41-12
d[6,13] = 2; PATH: 6-41-13
d[6,14] = 3; PATH: 6-41-57-14
d[6,15] = 3; PATH: 6-18-15
d[6,16] = 2; PATH: 6-16
d[6,17] = 3; PATH: 6-75-17
d[6,18] = 1; PATH: 6-18
d[6,19] = 3; PATH: 6-51-19
d[6,20] = 3; PATH: 6-41-20
d[6,21] = 3; PATH: 6-41-13-21
d[6,22] = 3; PATH: 6-22
d[6,23] = 3; PATH: 6-41-23
d[6,24] = 3; PATH: 6-41-12-24
d[6,25] = 3; PATH: 6-41-5-25
d[6,26] = 1; PATH: 6-26
d[6,27] = 3; PATH: 6-27
d[6,28] = 3; PATH: 6-18-28
d[6,29] = 3; PATH: 6-41-32-29
d[6,30] = 3; PATH: 6-62-56-30
d[6,31] = 2; PATH: 6-88-31
d[6,32] = 2; PATH: 6-41-32
d[6,33] = 3; PATH: 6-16-33
d[6,34] = 3; PATH: 6-41-5-34
d[6,35] = 3; PATH: 6-35
d[6,36] = 3; PATH: 6-18-68-36
d[6,37] = 3; PATH: 6-41-37
d[6,38] = 3; PATH: 6-47-38
d[6,39] = 3; PATH: 6-18-4-39
d[6,40] = 2; PATH: 6-80-40
d[6,41] = 1; PATH: 6-41
d[6,42] = 3; PATH: 6-26-42
d[6,43] = 2; PATH: 6-85-43
d[6,44] = 3; PATH: 6-41-12-44
d[6,45] = 2; PATH: 6-62-45
d[6,46] = 3; PATH: 6-88-72-46
d[6,47] = 2; PATH: 6-47
d[6,48] = 2; PATH: 6-80-48
d[6,49] = 2; PATH: 6-18-49
d[6,50] = 3; PATH: 6-41-32-50
d[6,51] = 2; PATH: 6-51
d[6,52] = 3; PATH: 6-52
d[6,53] = 3; PATH: 6-41-13-53
d[6,54] = 2; PATH: 6-26-54
d[6,55] = 2; PATH: 6-55
d[6,56] = 2; PATH: 6-62-56
d[6,57] = 2; PATH: 6-41-57
d[6,58] = 2; PATH: 6-62-58
d[6,59] = 2; PATH: 6-59
d[6,60] = 2; PATH: 6-41-60
d[6,61] = 3; PATH: 6-41-61
d[6,62] = 1; PATH: 6-62
d[6,63] = 2; PATH: 6-88-63
